image_path,cow_id,confidence_score,temperature,threshold,quality,error
3026_1.jpg,3026,1,0.5,0.5,Excellent,
2261_1.jpg,2856,0.75,0.5,0.5,Excellent,
2641_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2528_1.jpg,2528,1,0.5,0.5,Very Good,
2750_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2745_1.jpg,2914,0.36,0.5,0.5,Excellent,
2922_1.jpg,2922,1,0.5,0.5,Excellent,
2599_1.jpg,2599,1,0.5,0.5,Good,
2789_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2893_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2897_1.jpg,2897,1,0.5,0.5,Excellent,
2468_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2626_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
3012_1.jpg,3012,1,0.5,0.5,Excellent,
2625_1.jpg,2625,1,0.5,0.5,Excellent,
2487_1.jpg,2487,1,0.5,0.5,Good,
2886_1.jpg,2886,1,0.5,0.5,Excellent,
2298_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2813_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2374_1.jpg,2374,1,0.5,0.5,Excellent,
2784_1.jpg,2784,1,0.5,0.5,Good,
2676_1.jpg,2676,1,0.5,0.5,Excellent,
2671_1.jpg,2671,1,0.5,0.5,Excellent,
594_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2786_1.jpg,2786,1,0.5,0.5,Excellent,
2_1.jpg,2,1,0.5,0.5,Good,
2227_1.jpg,2227,1,0.5,0.5,Excellent,
2956_1.jpg,2956,1,0.5,0.5,Very Good,
2950_1.jpg,2950,1,0.5,0.5,Excellent,
3023_1.jpg,2911,0.65,0.5,0.5,Excellent,
2872_1.jpg,3035,0.96,0.5,0.5,Good,
3089_1.jpg,3089,1,0.5,0.5,Very Good,
3032_1.jpg,3032,1,0.5,0.5,Excellent,
2596_1.jpg,2596,1,0.5,0.5,Excellent,
2608_1.jpg,2856,0.99,0.5,0.5,Very Good,
2947_1.jpg,2947,1,0.5,0.5,Excellent,
24_1.jpg,24,0.99,0.5,0.5,Excellent,
2390_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2695_1.jpg,2695,1,0.5,0.5,Excellent,
2525_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2909_1.jpg,2903,1,0.5,0.5,Good,
2884_1.jpg,2884,1,0.5,0.5,Excellent,
2773_1.jpg,2773,0.95,0.5,0.5,Very Good,
2985_1.jpg,2985,1,0.5,0.5,Excellent,
2921_1.jpg,2921,1,0.5,0.5,Excellent,
2756_1.jpg,2756,1,0.5,0.5,Excellent,
2775_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
6_1.jpg,2767,0.89,0.5,0.5,Excellent,
16_1.jpg,16,1,0.5,0.5,Good,
2764_1.jpg,2764,1,0.5,0.5,Good,
17_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2840_1.jpg,2840,1,0.5,0.5,Good,
2681_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2514_1.jpg,2514,1,0.5,0.5,Excellent,
2743_1.jpg,2743,1,0.5,0.5,Excellent,
2647_1.jpg,2647,1,0.5,0.5,Good,
2903_1.jpg,2903,1,0.5,0.5,Excellent,
2792_1.jpg,2695,0.7,0.5,0.5,Very Good,
3011_1.jpg,3011,1,0.5,0.5,Excellent,
2734_1.jpg,2734,1,0.5,0.5,Excellent,
2480_1.jpg,2480,0.99,0.5,0.5,Excellent,
2691_1.jpg,2721,0.85,0.5,0.5,Excellent,
2777_1.jpg,2892,0.71,0.5,0.5,Excellent,
2790_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2644_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2970_1.jpg,2970,1,0.5,0.5,Excellent,
2752_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2737_1.jpg,2726,0.94,0.5,0.5,Very Good,
2541_1.jpg,21,0.37,0.5,0.5,Excellent,
2864_1.jpg,2864,1,0.5,0.5,Excellent,
2594_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2995_1.jpg,2995,0.65,0.5,0.5,Excellent,
2682_1.jpg,2682,0.36,0.5,0.5,Excellent,
2465_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2973_1.jpg,2564,0.93,0.5,0.5,Excellent,
2680_1.jpg,2795,0.99,0.5,0.5,Excellent,
2796_1.jpg,2796,1,0.5,0.5,Excellent,
2984_1.jpg,2984,1,0.5,0.5,Very Good,
2832_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2536_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2885_1.jpg,2885,1,0.5,0.5,Excellent,
2861_1.jpg,2861,1,0.5,0.5,Very Good,
797_1.jpg,2749,0.37,0.5,0.5,Good,
2853_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2991_1.jpg,2991,1,0.5,0.5,Good,
2857_1.jpg,2857,1,0.5,0.5,Excellent,
2837_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
14_1.jpg,14,1,0.5,0.5,Good,
2586_1.jpg,2586,1,0.5,0.5,Good,
2907_1.jpg,2907,1,0.5,0.5,Very Good,
2800_1.jpg,2800,1,0.5,0.5,Excellent,
2607_1.jpg,2607,1,0.5,0.5,Good,
2679_1.jpg,2679,1,0.5,0.5,Excellent,
2554_1.jpg,,,,,,{"error": "Cow ID prediction failed. Please check the image and model."}
2895_1.jpg,2895,1,0.5,0.5,Excellent,
2900_1.jpg,2900,1,0.5,0.5,Excellent,
